,job title,company name,salary,city,state,qualifications
10,BIM Analyst,International Paper,$79K - $110K (Glassdoor est.),Memphis,TN,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5382e1e9&cb=1671241408408&jobListingId=1008286033775&cpc=6A7555B79A28284B&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-1352f961f13523d9--6NYlbfkN0B8CXqYxItKP47ZOpUNd4em0p8AJp2IIK4lRc4Z2CXlkptyYOvtA2HeKC27Z-ebZXxJ8B6u5YFrMU0x11W0u8C2x9kjXIhohrG1EPPwUMdtte6h1xyJY7H_CbrmPgkyajeFDgpAzXt79Gzr_B1yHWLDO_TjZoP2usWRaDExZuDyFlDCfAENMIWwzunRAdOc6ax3P73kszJCwVwqBdqHn9QtzAy6K53temQ0f4GQehFcfKXufEnzX36gDVqZ57Ovz74clAuwNTMye_eolgS5GhUV71L81EXn60KCJycf79mjVBLCzSTh1DJpTgfd5bfPDxUuDNc7W7mhGb_4gKUJlzYliFUEzZt2shRNQsITYAXwQd0KDYz6XKAKhZozbw8SR0FEOwqxMU857QKqmGJdwxlIhJ2tJzyoJN5QQaqi7Hx-kxlkRFFsAi7VEbuKl85EGmhISMHrv-yw4K9v__JPPju-JWpN8I6AgnAkDROIWu2bR2XA_WG79g_EC-w9anOwac3M_fuaj5zN-NSn-LQVBOckASHS8QCbBndYctrZzudeBbCJ-PZUDA5u8nRLrTEiWxk%3D
11,Cyber Data Science Engineer,Arcfield,$86K - $116K (Glassdoor est.),Chantilly,VA,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_15c24f99&cb=1671241408408&jobListingId=1007993057573&cpc=7B55E3DABFA2D45C&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-0d2792ac3eb7b02d--6NYlbfkN0Aiur-s0w1ecieYSDQAiv-uLYLftpJidGWuKR3kSJYF_m0Pa5Mjlhgw52bqFL_g86r8n2xay6R99x2Lusdcf8W6nGVzySEmxi5PUWu-mau_123u4tMRM8dOoLudcoetgbx_JSeAgMfbCFRxCJ60SKThi0CyKD1bP4K_qpSmbd_OajuRtFAG0CgEIOig4CW-1d0KuCKxMwtk1mmhMt9-gXpvRxPCtGNX8KynSPBQJTmsast249VRpQIvlg1WM79VEr6wCKVipgXkiImbcIIwjuzyEu9ybgS2VM3nfcADgK93dOaXzvx6QWKRoFkyY9Y_yffW-DmzYHEeuBAzON9sQ67c9mTkIjJtSxPxogLSGkrfWI0o7H3shT3nAj2QEej5F_LgQfWnzTAsAclPdZo6btWZLGIs0lfZDYZ_ylYk-IC9CcKVioMpCoPvsJ0JgGgjlqQt3osGOUc1nH36FNR_yZSC9o6_ljHWWdKaa-_CuoAnOGJ72Hqxn2xLCY0SPq1BXvF00mTf556HtxfczEGxy2pTpGQO0ig_J43vvQsi4x2QHmr76-AJ2dcWRPUOKWbjaeFUr9T0atGXxQBchg2WE6Lf
12,I.S. Business Intelligence - Data Scientist/Actuary Scientist,Parkview Health,$65K (Employer est.),Fort Wayne,IN,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8c6497b0&cb=1671241408408&jobListingId=1008103858698&cpc=ADE3603FF9EDAB1F&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-5bcdd7608ff25be3--6NYlbfkN0BkvYI6LydohaJvRZHKQcpRZPA8Qj3bXLrLh86EOIytR97JUe18Y-Q2Vd0tHm1rjF7QYXGcjo83V68qymLrogTt5gn5nntfsV5y9WPT2pVcwO9A5nd5m-3jTgVILo6Hu9e3L1HK_i54f-RnAobH2txuQickztJuG4yVOSKGVBvz1bSNxsd2kTawR7Sf6TrZjTzHaoCPiUZX1jZJAwa4-yHLr6BIsIrg6PkgMFDIS_3QT8hJpp7g5y1yPN41nDj7SmN1lRN_Fws2Saptt1WEBdwccYn-ZtLTidmzlQ9ns-W7Ei3zQc0coB3o_XtuFpCCL4q-Lg-H88kf8saC1_HpNj6uQt6sdlimLHO_9aVX3bpufuNPzJQeGcIn9ZkNtpK_peUEjWGlXH-e0ETmElFz-mL73ifK1YFar_PxC4YSN8hx2nwkqDpVixFTXXtCZXHZZ_o56HrBy8dSrKHhQ9ealrzI1318z1sLTyRruMjFEB9yGKclAgzNdgXDFQFwv-z-9ftyfkJblRggB8zf6hRCKKVEQ-HF_ZrLCavbAQs-YzaJjMTpHyma02M06PWX28VHe8VgiVsRSe6uEvczzTMZ57Gl1aDHxTiw0t9WgmV5W-BBreVAuZadBHP-
13,Postdoctoral Researcher,Occidental College,$55K - $80K (Glassdoor est.),Los Angeles,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ccd1ea1b&cb=1671241408408&jobListingId=1008149563747&cpc=B0B9279045B7C107&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-0e3170fa1cde2321--6NYlbfkN0DTTRCuv2EXa2sY74xVnasupRkPTNmjGE75xfnvA_7C1bMCD38Z_J64dNo9O1SXznoDhC-LAwu6_Gec9WjyfVsUlmLczUQbYaJe4KXXAbzC-TyrrE3x0szJIQ3XLB5_b10r1sIKDiexagP-NnFCLIXNerLX838gLQdbgmvpdeW5uaXxT4XLgFtDq85ttRw9JMAxd0KbAUpC9NFJ-QhSEgZ_15l_yjITojIop21IlUNTYGHlqgvF-fTscBxfW_EV1wyoc52LcnC2PVFMA4FH2MguB9yZhZcw64yHwZ-JzAGkoFAlbyZNwJ6uyKKyFGFlCH3HFRi9uw0_MNIyRdBSFYtEWjJPFx8qzrcfWHhCNbiShCmXMfiGOPrWuSpWE5oTy69RK_zmGoGpdlq53yriUGq-BVCIzEsMWQaLww-qIlczde85Iz7W-NaSHy93KKDybtRlDj3C7lijy0VVfGObhpNZkoSN26MYEQvviVQ5_Ydnu5NCB2ApKk6tUqFZCN9sPp__vJWwIYDN8WTnPu60uq-lNcqsDHNuTim06z_O_SPIZEPXLn_YHlLPDbr_Uqc7wUHPxspGS5sbaeaIqpl7FnMd
14,"Director of Data Architecture and Engineering (Ability to be based out of Kansas City, Wichita, or Park City)",Foley Equipment,$110K - $120K (Employer est.),Kansas City,MO,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_641f42fb&cb=1671241408408&jobListingId=1008337770587&cpc=54EC8D06A794BD9F&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-d7df26b8487772f7--6NYlbfkN0CdV6Xx6lqgVdPhdqXTHlynkNyq_YLCp1Ujt-nBovFwN-DLXr_Bj1umTict3-eFqNixd9NmGjVJ3fp-xNLX8IBU9OF8hITYnij7ip1pw3U29x5JiGSIVAIfwZ1P5AWmJgFnyW5jUDXERc4ujTNJ7rEBFnc52UC74C1STrzu-oCfUXix-TSKi3Fd15j_FJs_qctdw0XENxIs86gI-Ld2RCNJl5AkYftCk3WNLUz5dC3fKO_NdwuvLcMZG3YUZqYssVJTKStGpDqOEkRbz_7FGTWOrHqlGfZCTr5yrjIEMD54uRh1ZLq1xx5avPuyCwfZU369eJNw8kCt2bx665__FEq6KOpb0K1h74xsJrN7KJ9Y2tyXB50Hd0_aRMveAMx-XVa5ez79LHOvP0l5W8L5d-vgYC7AK9RLBA73oSxMld6PU2Bi5GYju8taf7zALz4xIPrGDtt93_F_gW-ovLLmtBmpDcVDWq4LfMEGjZoJ5ID1fUvJvjBtpIsLAO2OJeBkdlKl1uBlwYF22i_TRxdv3nZUIB_1KnhgJ61DbPZyLHhJEVnPOrWr8gp_7qMYfthza6WsauYb4SnH4Sp6xPvK1nfRrhavtQBdp5s8uqomtpx59vcKuHgf381VwQIYoeqArrwlN27x_XJD2MUf_Jb5OYA__-3bQ0Wf1KJKNAY0xgbNGoikxaKYIJslpRFLLqzsw7M2Tt_bXdhli2PhL-VyyIAXDMj-lx2zNhh5N58fxlSmTOhT0-wPWfpOCNM2wKhwiHkXIh4WLcot42fWK9u52rMJ3kI8mNavphArFhgztZfldG0CshGExSHcO_Fy0eywqg7qWRiTayMlAg%3D%3D
15,Data Analyst,"Pacific Southwest Container, LLC",$139K - $188K (Glassdoor est.),Modesto,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_160ca64a&cb=1671241408409&jobListingId=1008216548073&cpc=85FE13F70043876A&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-9a806b037229d533--6NYlbfkN0Bqmz8XPwV4-Z2tc35soZo0kFyJ4kY2LwFMo4TeAZO1wRXaj911bnJ77KTO5wMLOTI2f7CMis0QguzFe6S8ShFGKomsCAxbWvQJsiX4e5PMpsqmHBaihe9Y-2G6v9SsuoARbSu_im9ibsOV5fY3HAHgmAI_JDyILSb8St_JGBCAC5nEQoNCrNOQNBOCi4XYpivctbEAZSgvD4OwVD_3rawnnGE2Kq1Gjw5XYMFkOFHMEc3m2dFmgSzk4rEbySZSPVG8oyS6H4CyHbMBKF-DZ--CrFke5l86stu0JcDlZ_UlN4Nx8fgpyNex5fddWqZ5f7V469gmYgbvsiy2OSBTjQa-VllMZ-DFNwduQwulkPAwjF6GxK1H8h9SP9-JzqznCfc-kz2N9GRHPfoijmL0hQrjX2orW1a4NpoX2vajHXNE-wn9-858hd-UN31rzeOoh4juNCiYzxy-MkwkvdtteVMMtqISfnLjtwkYg9iKot5gbmXF8h2TbQryM14gldW0hCkNyvSQl3okKxj7Fjd2bzjd3itL8Eqt62N3mV2vlxXXJ_4RlqUBKnA91djM78GY7Q8BlkVyu0u_kyc2wgP_uu1bUk_fKbTPpMYiL8F6mvg8KZEOcQZhWR6gMOAjT0wI3LYdPEA2A75VPXcbxQDBQpYCjQlmb98qZsfQhEbmhcobxn-SNPh7O9b8
16,Geospatial Analyst - Senior,Streamline Defense,$65K - $75K (Employer est.),Springfield,VA,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f2bc07d3&cb=1671241408409&jobListingId=1008313240261&cpc=0D558223EB9B15D1&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-50142a8df88aac43--6NYlbfkN0BHIfC1zsKGIu0R3teaIu8liT7fbRNLaQeDQfcPJweUK87kcSvNGWX9aJrDJyZevqr020RkGLCoirOT8eoPZMXk_QwxsNyC1uMvO-hU7o6FBBTwKHgZtmZRkJFLLLeH7GUOPHJiapTvZCCoOQy2NLeNIeTzrW75tdbVxJtcRDTQCfZqnaEzSqEbB5t6JETWRi2d-ExNmgjVVjUAJhVPijld7cUU1QYrc98wV9EFPEeFQ8UYrRI71-mUseAtA2M4pc6C804FJCiMBjll1jq5SZwQBMS30MjhT7GDaEjd5HOE1iiZl9AYarroXyhNNZZYfBFrUE0eVeUes0ewfjax1xiNR01-zM_TYZbAds0U0s8iqEcSzhB4L-SyioevWihvUwjcNgdiDZr_u2mpFkI0LZ-DWJJQ0YQtZUZrHsPrkjUdX-kOyWarvMacLp9s1cO5iA4JNXphOMvVPQcxWffbxoQ06Q1lGX2gZHmspezBQr0dRa3RrocMvuBwOQvmY3Y-hZ897BRWyP9LQce4MbRORiKJBaIdDXKIYcoX_lhsygLRvJw2XUVZgDuQ1h-jilWHSVypyzAeXvjWkg%3D%3D
17,"Senior ASIC Design Engineer, Memory Controller - Data Center",NVIDIA,$69K - $105K (Glassdoor est.),Santa Clara,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_201fa731&cb=1671241408409&jobListingId=1008149158479&cpc=48A2A01CE24DA92D&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-81e810a60adf01a1--6NYlbfkN0Ct1eYYw2bk7imXkZBzkvCztKeSwYw_6rMLV1-VTk7hZ8Dc-xSXHT910mj3hrg87_bcS1nkR74WZKRjOjz2GySUvb6lwt4qtm-BQCv8xyCHkaDvVHXbb_iBcSMxOSK27oOJteQ34Cw4dhKQkqzniWGVZnHXZp-eXSHh_QaLCEm4-ToT3A8lIbPXvwI7aQ0RwSyrEqFXlpxJlITU829t8vLXkjC_wj1m0lpFrCJ2Xu5sEiCmsrXN8GBYUxMbgO_VZPjqAplV4Li7UtWQkb4x7HamYWOiXU6HSgOHj0_JEu8KwdOqf7YWDdrrPClVnMGC2T35_Y3JWw12vpyRKFKYUN9Hx5Zb8ir8ItiR7zEQ7QIlWjaCyLW2REXPiLvg2XvVkIYWYjiEPYjaYTdPTQ_7h70f9zGj7HiTRU3IDgHfcxo3hT3cqZT0kKoU-y6n_GtpqYIVmTA1tmAioyuCGLWku_J7q3J-DPU6nxnOx0B6OyVbJDxWlm5DuaTE8_ZAgya6n2GvA-z0kcDS8OUn4UhDU5as4Gizeywv3Ow8SuhEP5umU-eo6WHvlTjbL7aP__pVSSRrSf6WboOcD-a2OMOzUL81bUaANFbyfFWgTL-8JYyWOw8lmMv_eGqaXaDFzoS2DNbepUbEUTScpVgVmKo-EBC50xDJL_weiOzhGESqIEBlbWzMrpzOsxFUQsHd_wnH3CZsJIRmodpRAboodS5nxcOeDJTH8hNTJ1WePfQmEBdK-V-2PBHSL_fI
18,Senior Research Associate Biostatistician,MUSC,$85K - $133K (Glassdoor est.),Charleston,SC,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_657699f1&cb=1671241408410&jobListingId=1008328608363&cpc=44DE203E6B988E83&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-7770dfef5318e5e9--6NYlbfkN0Do5YtKC1XdfajIJvo0hGhDahGsoMLmDpCMiI6sEuEneCbB3-ykVW6nVkB7AR3o6vW7JOqcFNzesq_ba4rC-aa3GuszNUgl4d_RyZH_O0TFDnXLLMaYpv34TYpX8CVE0GYRJQa-g5XUAJJve0Pb1Dk5ctWChrUuQvvzIF4q8QkNsh4dercIop5T_dqUy1sHKqleCe3KNJDZKtikLEESj-esA_QpByl3xFwGTVWVaBYTHEu2jMG3gT040Sav5Q7wZptKR07r42mIIeyN0sStaQnQh9Y9qk69lWToCl0NkTczeN8j68PBAcwC48SKUOfBt8jau69B1KPS_aLeioFHPveJjFazWHXSO0FpzmXegnh2fc0JvlXM39VGKy867yY8RJpioo76DvRyoR2w7nfAosrxM8pQNgP0cGidPoWsQFWHoTdEZUO9clXFM-VLbdGvYk0Oz2tPYCQCU1lhUr-PQmSTvAAJNRSYo_ZurjmNtEpqxiAsY-9csA7cZPZOjFCGdxRJTRWmm53ZskpS18JbTYRx-Gd9oMw0JbLFZeWfecsmx-ZujmCEII997wcKKYL5RniHT3wdCuyL4-7lyY7vJ0uSPMCwn4xUi-M%3D
19,"Manager, Data Science",Wings Financial Credit Union,$48K - $76K (Glassdoor est.),Apple Valley,MN,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_65f1866c&cb=1671241408410&jobListingId=1008324542619&cpc=8BB092BD934645DB&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-135c5cfd1cd13fe7--6NYlbfkN0CjEftsIph-AHDJx-SL2XnXxVuHl7SdcUqu9izXBV9rO9Q6t1LILG22YtSqQ299CMlZUCXA6R4YUUeUK8-4CaKADbdPkjqX7aJ5JndfJoMfrK26RNEcgCg0rdDOeAKttB8TRq7lB4Lp0JaqgUjZN2jsN0EVj_SL23tHkD8Os8v4CDQRLa8OxUXKuG3cYSC_eILPoJU6FwbPJx9qoWatHeJWthA0XmstCw3leRSb-ImvDm2ANuxSTL_BJsN9cfYIRwkVwWXFrfKrG_K2ps_HNUzPgKwADAssfNc7kDseF6Ro7sRe6KSFXu4hgKbl8hjcZugfFzMyPHSRjM3HXkmwtQcTskofuzYZgD2mAhe83ttnwOMRS_z4tHD_3nIZ5kwv0UEu1a5vK8iQTWFVbI5itUMFqmRRUifgzC7eM4Oa8KtkSgX6sGLHotfBkh_ASSih6Dg2dLOl-i4RgZO_mh2B4zGSMIJ_TNQwi7HNQ6ldaSexh5T2MS4ZVxPAXsB-ztAxBWDI_ETYMlAEBkE6h3R7U5OcY553XEk70NDLIwMLRry2Tvi76wwEH6Dxcbn4qipQBLMNX6zrYMtmtoDypDzT8i_iFwHnC1gesZRSHUuOx0GZhgIazyXqiY-abtyAI1gszO8bCdtnjY3l0L-bdmMdMH2FF_jpOarUcae9H9LRph-lKTUC-tSpGMGMX0JsA_qSP7u14og_9lnshGYgho1SwbD57JTKoviyjbDlQd2ZaBUDXjwN4P45tcbsXNVGidQabZk09rQZr9g6Xu37BQgxeATZNaxeNFUGvECaudj7oD0G1jfzI2c-t0BMmie51H43b38MexKEBrfhNxAxM9krvOSsRjb-W7SA_bs%3D
20,Data Analytics Lead/Manager,Darn Tough Vermont / Cabot Hosiery Mills,$86K - $126K (Glassdoor est.),Waterbury,VT,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f6dc118b&cb=1671241408410&jobListingId=1008257266252&cpc=85A3CA4014E96818&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-3801db0d7568289c--6NYlbfkN0BOnR40uEzPTqbIjpiCVb3irX0HID8rgVSpN77kNi0DUgVB6LfgKYbo5pN271Zcg8HEarNq-LYXnXllcX2G8Trykf501UdyHQF_sGQ1n8ckRBxGN23iHAKXJtxeE_id6ckD0MHBiYMaJD0XzVEErGET3bEOSJzYI8XQ65kubMifPKA4wF9VyVHScHp6Z0vPyir5knFYsl18dUzSpG9tdpvB6mGxHGEhjxFhajUmoJzu4rekqzURQ_t_fK0dFM8nOtdXgsUG4j2yr-uDIMzR8NctiG3814aoNwbzJihbhuTaroK_gSqcmGA4ntQ0VMQ0Ortg1Od3spDoObs13dtEAfsApP9WdbNonX2Df69p57scfpSemQIFIH6SNtjgZsi3VWC9pPtMuFiosj12ldCIru8O3tUgQr_3XrWQuooSC5Q-peilZyBfT-wu_oYIN9f5ucjNty_vuxWoxBJv1HPCNKysfOtFtSvx_Vx-VGnZVD2Wq977j665qrXpQ89R_A_uz9K9eidFjK1pq3nyE4vSD_T_TyoDeLXIlGha9SZcupJNbvjXozb57CYYhAzqSviTWBL6nO1Ud-7RsaZoaS6qLSQZNPNWu2F-RPKks4hSglf12A%3D%3D
21,Deep Learning Researcher,Topaz Labs,$86K - $125K (Glassdoor est.),Dallas,TX,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_281538bd&cb=1671241408410&jobListingId=1008238068907&cpc=D0EEF0302DCC60DE&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-53a04c512a8a2f99--6NYlbfkN0DNjNjv3lWbBIugprsPiGPkbM_A2kBWbVBXw4g14VEOdOTa1PfyJqHs9X8KQxd_Xlaoxk6ZvkJCqGdwMm5RmMh_4Qc7T8gfxgUY5ZWiMh3qvK7gjF0lvHx8g095J0NJ7AxCjV8IihFu4IKY8pp8LnlbZgj9tXuIDSLVZvEHXgglohX6l7DIpsLtYHkARWZHbd3Gr6xFkqhXzcnwn_ymvIWsoXtt28sch_e-W6Fw2a69rLYcQz-gygQG32df9fWlvAL3__5wXaGKT1wSAP4a2Ij30CK0MuvRWSL6IQvoxvESMLfvm_x9c955UNYbFK-IjLnX9gxN_-LGmnOs3n6JpCGs1yEStG9ZXQEUaIwcu7QAB6zW_rZl0YU3OzbEPDjUmqMPlG7VYxcejOPFVyy7IoDjxEJAOXH5JFfKOt4-v3VptqoH_Uhr4FSdL8-Id9ntKdsF_flOF7voJJsJdFxbBEHhUzPrQ7hhMOX_y3X0nnWqoi-x8lTn6CyBrrRm7-Y8FvECeNq6Z26S2uA8sCD8TpvBrvmYCveQWCu7KC8S9zG-0yuoQG3C-C1CC2vtxR_f3FglNKLa0Lihqw%3D%3D
22,Retail Analyst,Eurpac Service Incorporated,$122K - $196K (Glassdoor est.),Dallas,TX,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_fa15700a&cb=1671241408410&jobListingId=1008200215575&cpc=00235CAE78D32E23&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-093c5e1cbd7d7be3--6NYlbfkN0Az26jEGomvOW-2H7q_l7YcIs6F5sqzhm5s1Zb3yfRPWLu_Q9Xz7zU-dz2VsbS9Hsy8UaESpzQjnYBUzcpdjVCnGEEn_b9ASzCCFXyEipS4eJzXQCsZEvMx0D8JtGAynWVzdpGZFV1C1G4KTJJ1f-HtvHyq2obTUfYYhUwU_etoeUBtz7wjJ-YJ9MEsiEc7kXXAWpHwyReMTp5HK9eeuBfH1CEy-n-E37Ac6_yaNEvR6hm1sGQrQOnZu5NEUpcLVUqYcT72_D6AnS3WFEukOvOLoS5Gl0TQUA5gmFF-4y7dM9XfQD6ygBpeKdWzQr-2cV1OvBq_ddNB4wv7Fk8j0rJ-RapfsPTZoUhq-DoJer4URVg5mWJR_KTqLcjczjJTjdwTv0bhL6cKpfJmQt4BEcP_-znomaJvb3ASYdGNNsThc-wiIeu4HFd7z26Sv8bRayoCBBPRRpkfci97eR6w1lNM4yP_FBrzFDtwU65vO58s_tKIwr8Vs0uxFUH0kA0QWtoKQXyOIm3EtmFROni1K0j56r1y3_oFIkXbSc9nrhi6xO1ZQ1etP2XHMPLSefc6BIiWBRwqMx4yHyKWYiZuRFn-GLWGZZNGmq__oJUg0rmpMsDrcxkPYN7kEVMvlLuUWr_oJ9VBRZPp_rhXe_XJBfbq9LKOzgXxH9g7e6svNX-jfQ347nRnWrkNihQ0GhZiejLfBwdtuccDTF5f9K4w6AjTYEKpfb5BVkFXujeinakh0aJeQ-RznUl46xMzMOl0LaYKf5-ibYCC0NXxr4Et_c3l_ASORuSnAL_hxtnj9-HlI-xnoY0DHA-BSWNDmrw985J4MEUqML2hUg%3D%3D
23,"IT Solution Architect, MissionOPS",MSA Safety,$106K - $139K (Glassdoor est.),Cranberry Twp,PA,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_450e1b72&cb=1671241408410&jobListingId=1008079815419&cpc=FD58CDE53D3E251B&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-96ac5450df85f8c6--6NYlbfkN0BYpl6mgMJcFDnJi11WT4UTRFlBKiRR23kl92KYnUYtGFVyPBMXULjbyH9M9pfRRc2jUvTmy0fIOcmvyHXHcyyQiuRMeQoWXXfYeZY6UVxBdE4FzfvgatS0--Oh-6H2XWe7GDMVfoIUBJYwCS5AWyE0SDInxGPSk4uy37osTRCERsRWt0Ay7i5SSqaX2M3-7fyDXqFZo_UqBJ0kZdwiZSVQ-y4VP-ACULUruWleiO8LAp0jgWNT1-zTfJ6g0yVXilLpsqOrrJ2KDMG7neIFtwlibEAR9MEJfP5gAeiQjGb2_-ECv8Gmgt5-G3qwMdMZbfrEzwgfcOTcBh2fENIykSzegb-KS8yDZakalTtJSYKatqP8IaH9MdkesBBPFeqd3tboM11nDmp4EY5es4MglKMQggd9rOnU7fygAt7WE3sXxuJoEGBWX_5ksOAzpCUh2GL-urt5MhGSfmxQg8s0Fywe4o7OBjFvlnIbrXJBmCg4icg5v6uY_hyYQL8vQzFtjhKEUDpusk_AyQ23ziiwNti2RFvkCMoFQFD4GIsM1gruPA15l8j_nAANLYE76f_PavPUppEPOFCVKh6P0Z9OmSzBA11puMN1JS71gtfO5lvE-S6HQBKDLD75dI5zGwa03ckMZxJuBu5RB5rbhaB_0pZLYwuvZcUnu2oUYJMCbB3X-N9SNmNxwLjix5i0UErJTD86pHcsd9l0hHfkVpXbbX1AYjjVULpKak3KXuWQZnRfzT5qoRTIne8aseyxvJ7QUWJnFf5NErdeIWADX4Wxt1inR35_BV07fUdDyKt53LeIFBGqCxfSKoOKrJG_4m-VqvuXRzG0o-zAbueYWilCfLJF
24,Care Manager - Oncology,Lexington Medical Center,$68K - $102K (Glassdoor est.),West Columbia,SC,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fef5a97e&cb=1671241408411&jobListingId=1008139484388&cpc=6EF77A3B84E9996F&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-1432fff610afad8a--6NYlbfkN0C-Ws7i3ligAFRgOS9S742D0Qj-vnV1rcLsm7O-OeGlj0a7OerI1FDKmz5nLKyc5dDmkDl-LD8kNxza_9niU01HdDzRgz6QFUYiwjMMpKK5KWsX3jwOKVHMw_0U4bDpMY0BLaSzIWj4qcvLQpI7BXukCVsIUNeeFDd0EI7dTI3UWk2gP4y9sLq5EmfX2ux5_vehktqTlDa4rUH-d8rDooxgj30BX7o6IwYF5VwqMEv-fSW0gdeXGxAYJ8A6SPBSsB0VT2T-qfp73KDVFfYr0lHtNkgQUgE4y3VwQUdRlMKHR9FIwbzAD0ujPx44WCHubPdcStOm68B-XQnXvv7gRL_bwePrST8QmApml7-A-dg37pDjFJVr1cF2AlvSA8bFxsEXP2ezu9wkGOdZscZd84ASj-C5GAmfa79QawScNfbTW4TDmZ841MWRmAPPGOBopDezEVJCB7D43nXYN9phqVUDRP3R3rsLQnuuZg_DZoBrGGWLVB1hLWK_CtI_4r_sU__X8C5MT4VShIHEqWoHW_qaFRiKTn2rD-EmQWzFvEN87FfknFR8un0z8_tv-JK42_agkG7LqHuuuf6WMa5KFpcN
